"Tarih","Saat","Tüketim Miktarý (MWh)"
"01.01.2017","00:00","27.223,06"
"01.01.2017","01:00","25.825,90"
"01.01.2017","02:00","24.252,68"
"01.01.2017","03:00","22.915,47"
"01.01.2017","04:00","22.356,99"
"01.01.2017","05:00","22.274,49"
"01.01.2017","06:00","22.388,61"
"01.01.2017","07:00","22.608,23"
"01.01.2017","08:00","22.547,94"
"01.01.2017","09:00","23.844,14"
"01.01.2017","10:00","25.667,71"
"01.01.2017","11:00","27.186,13"
"01.01.2017","12:00","28.002,60"
"01.01.2017","13:00","28.618,02"
"01.01.2017","14:00","28.694,90"
"01.01.2017","15:00","28.558,29"
"01.01.2017","16:00","29.146,36"
"01.01.2017","17:00","30.628,06"
"01.01.2017","18:00","32.342,00"
"01.01.2017","19:00","32.254,23"
"01.01.2017","20:00","31.780,44"
"01.01.2017","21:00","31.277,52"
"01.01.2017","22:00","30.689,53"
"01.01.2017","23:00","29.308,57"
"02.01.2017","00:00","27.477,70"
"02.01.2017","01:00","25.680,13"
"02.01.2017","02:00","24.372,11"
"02.01.2017","03:00","23.884,00"
"02.01.2017","04:00","23.902,65"
"02.01.2017","05:00","24.357,62"
"02.01.2017","06:00","25.779,68"
"02.01.2017","07:00","28.576,51"
"02.01.2017","08:00","33.537,13"
"02.01.2017","09:00","37.031,13"
"02.01.2017","10:00","38.510,27"
"02.01.2017","11:00","38.994,53"
"02.01.2017","12:00","37.733,63"
"02.01.2017","13:00","37.983,26"
"02.01.2017","14:00","37.960,68"
"02.01.2017","15:00","37.790,43"
"02.01.2017","16:00","37.883,24"
"02.01.2017","17:00","38.533,87"
"02.01.2017","18:00","38.033,45"
"02.01.2017","19:00","37.262,47"
"02.01.2017","20:00","36.381,64"
"02.01.2017","21:00","35.601,63"
"02.01.2017","22:00","34.860,91"
"02.01.2017","23:00","33.276,48"
"03.01.2017","00:00","30.859,74"
"03.01.2017","01:00","28.943,01"
"03.01.2017","02:00","27.825,29"
"03.01.2017","03:00","27.332,35"
"03.01.2017","04:00","27.254,78"
"03.01.2017","05:00","27.518,98"
"03.01.2017","06:00","28.823,98"
"03.01.2017","07:00","30.963,11"
"03.01.2017","08:00","35.531,83"
"03.01.2017","09:00","38.885,60"
"03.01.2017","10:00","39.688,47"
"03.01.2017","11:00","40.377,55"
"03.01.2017","12:00","38.429,15"
"03.01.2017","13:00","37.979,44"
"03.01.2017","14:00","38.286,31"
"03.01.2017","15:00","38.557,94"
"03.01.2017","16:00","38.765,04"
"03.01.2017","17:00","39.108,52"
"03.01.2017","18:00","39.053,26"
"03.01.2017","19:00","37.881,53"
"03.01.2017","20:00","36.987,69"
"03.01.2017","21:00","36.114,28"
"03.01.2017","22:00","35.411,22"
"03.01.2017","23:00","33.891,20"
"04.01.2017","00:00","31.313,51"
"04.01.2017","01:00","29.402,67"
"04.01.2017","02:00","28.387,84"
"04.01.2017","03:00","27.778,13"
"04.01.2017","04:00","27.705,95"
"04.01.2017","05:00","27.879,47"
"04.01.2017","06:00","29.200,81"
"04.01.2017","07:00","31.982,48"
"04.01.2017","08:00","36.340,58"
"04.01.2017","09:00","39.540,80"
"04.01.2017","10:00","40.559,24"
"04.01.2017","11:00","40.794,60"
"04.01.2017","12:00","39.041,63"
"04.01.2017","13:00","39.296,60"
"04.01.2017","14:00","38.952,29"
"04.01.2017","15:00","38.697,87"
"04.01.2017","16:00","39.033,18"
"04.01.2017","17:00","39.611,36"
"04.01.2017","18:00","39.423,21"
"04.01.2017","19:00","38.131,48"
"04.01.2017","20:00","37.145,28"
"04.01.2017","21:00","36.289,91"
"04.01.2017","22:00","35.540,00"
"04.01.2017","23:00","33.967,92"
"05.01.2017","00:00","31.433,88"
"05.01.2017","01:00","29.425,85"
"05.01.2017","02:00","28.252,07"
"05.01.2017","03:00","27.738,40"
"05.01.2017","04:00","27.636,45"
"05.01.2017","05:00","27.823,38"
"05.01.2017","06:00","29.091,24"
"05.01.2017","07:00","31.642,18"
"05.01.2017","08:00","35.672,37"
"05.01.2017","09:00","38.960,96"
"05.01.2017","10:00","40.168,46"
"05.01.2017","11:00","40.529,98"
"05.01.2017","12:00","39.380,25"
"05.01.2017","13:00","39.558,06"
"05.01.2017","14:00","39.699,71"
